index,Date_Heure,Pression au niveau mer,Variation de pression en 3 heures,Type de tendance barométrique,Direction du vent moyen 10 mn,Vitesse du vent moyen 10 mn,Température,Point de rosée,Humidité,Visibilité horizontale,Temps présent,Pression station,Rafales sur une période,Periode de mesure de la rafale,Précipitations dans la dernière heure,Précipitations dans les 3 dernières heures,Température (°C),consommation,datehour,datemonth,consommation_pred,year
41871,2013-01-07 05:00:00,101770.0,-100.0,6.0,10.0,2.6,290.85,283.75,63.0,40000.0,2.0,101670.0,6.2,-10.0,0.0,0.0,17.700000000000045,15916.0,5,1,17628.02,2013
104129,2013-01-07 08:00:00,101800.0,40.0,3.0,10.0,4.1,292.85,284.35,58.0,40000.0,2.0,101710.0,6.2,-10.0,0.0,0.0,19.700000000000045,21045.0,8,1,20616.998,2013
82084,2013-01-07 11:00:00,101820.0,20.0,0.0,90.0,4.1,298.65,284.75,42.0,40000.0,2.0,101730.0,5.7,-10.0,0.0,0.0,25.5,24049.0,11,1,24317.693,2013
26352,2013-01-07 14:00:00,101820.0,0.0,0.0,170.0,3.6,295.05,288.15,65.0,30000.0,2.0,101730.0,8.7,-10.0,0.0,0.0,21.90000000000004,24196.0,14,1,22988.564,2013
80008,2013-01-07 17:00:00,101760.0,-60.0,7.0,160.0,3.6,292.35,289.25,82.0,3500.0,40.0,101670.0,5.7,-10.0,0.0,0.0,19.200000000000045,22692.0,17,1,21975.232,2013
4644,2013-01-07 20:00:00,101800.0,40.0,3.0,150.0,3.6,291.05,290.25,95.0,700.0,47.0,101710.0,5.1,-10.0,0.0,0.0,17.900000000000034,21100.0,20,1,21614.871,2013
80023,2013-01-07 23:00:00,101870.0,70.0,1.0,120.0,3.6,291.15,289.35,89.0,12000.0,3.0,101780.0,4.6,-10.0,0.0,0.0,18.0,22223.0,23,1,22347.33,2013
67137,2013-01-08 02:00:00,101670.0,-60.0,8.0,20.0,2.6,292.95,289.95,83.0,19000.0,0.0,101580.0,3.1,-10.0,0.0,0.0,19.80000000000001,18801.0,2,1,18079.316,2013
49608,2013-01-08 05:00:00,101610.0,-60.0,7.0,10.0,2.1,291.85,288.55,81.0,30000.0,2.0,101520.0,3.1,-10.0,0.0,0.0,18.700000000000045,17933.0,5,1,16993.61,2013
67154,2013-01-08 08:00:00,101690.0,80.0,3.0,30.0,2.6,293.65,289.05,75.0,30000.0,2.0,101600.0,3.6,-10.0,0.0,0.0,20.5,22866.0,8,1,21140.994,2013
80631,2013-01-08 11:00:00,101770.0,80.0,1.0,140.0,2.1,300.45,290.95,56.0,20000.0,2.0,101680.0,4.1,-10.0,0.0,0.0,27.30000000000001,27148.0,11,1,25873.314,2013
3506,2013-01-08 14:00:00,101740.0,-30.0,8.0,140.0,3.6,300.55,294.15,68.0,20000.0,2.0,101650.0,5.1,-10.0,0.0,0.0,27.40000000000004,27414.0,14,1,25626.152,2013
67174,2013-01-08 17:00:00,101680.0,-60.0,7.0,160.0,3.6,301.15,292.95,61.0,40000.0,2.0,101590.0,6.2,-10.0,0.0,0.0,28.0,26167.0,17,1,24083.605,2013
49637,2013-01-08 20:00:00,101630.0,-50.0,6.0,160.0,1.5,300.15,290.65,56.0,40000.0,2.0,101540.0,3.1,-10.0,0.0,0.0,27.0,24400.0,20,1,23856.945,2013
49642,2013-01-08 23:00:00,101730.0,100.0,3.0,20.0,1.5,295.75,290.85,74.0,40000.0,2.0,101640.0,3.1,-10.0,0.0,0.0,22.600000000000023,23952.0,23,1,22278.107,2013
49162,2013-01-09 02:00:00,102060.0,40.0,1.0,340.0,3.1,294.55,283.65,50.0,60000.0,0.0,101970.0,3.6,-10.0,0.0,0.0,21.40000000000004,16922.0,2,1,17306.266,2013
49169,2013-01-09 05:00:00,102010.0,-50.0,6.0,300.0,4.1,294.35,283.25,49.0,40000.0,2.0,101920.0,5.1,-10.0,0.0,0.0,21.200000000000045,15130.0,5,1,17074.438,2013
4168,2013-01-09 08:00:00,102070.0,60.0,3.0,300.0,3.6,293.25,283.65,54.0,70000.0,2.0,101980.0,5.1,-10.0,0.0,0.0,20.100000000000023,16380.0,8,1,20474.615,2013
4175,2013-01-09 11:00:00,102110.0,40.0,1.0,10.0,7.7,299.75,284.65,39.0,70000.0,2.0,102020.0,12.9,-10.0,0.0,0.0,26.600000000000023,20199.0,11,1,23333.957,2013
49191,2013-01-09 14:00:00,102020.0,-90.0,8.0,20.0,5.7,302.85,283.95,31.0,70000.0,2.0,101930.0,9.8,-10.0,0.0,0.0,29.700000000000045,19269.0,14,1,22542.771,2013
80278,2013-01-09 17:00:00,101910.0,-110.0,6.0,190.0,2.6,303.55,285.45,33.0,70000.0,2.0,101820.0,5.7,-10.0,0.0,0.0,30.40000000000004,18421.0,17,1,21140.615,2013
80289,2013-01-09 20:00:00,101930.0,20.0,3.0,20.0,4.6,300.95,282.75,32.0,60000.0,2.0,101840.0,10.8,-10.0,0.0,0.0,27.80000000000001,20142.0,20,1,21354.625,2013
80295,2013-01-09 23:00:00,102160.0,230.0,1.0,10.0,5.1,296.75,281.25,37.0,60000.0,2.0,102070.0,8.7,-10.0,0.0,0.0,23.600000000000023,20819.0,23,1,22129.518,2013
12515,2013-01-10 02:00:00,100770.0,50.0,3.0,330.0,2.6,292.75,286.65,68.0,60000.0,0.0,100680.0,5.1,-10.0,0.0,0.0,19.600000000000023,16679.0,2,1,17467.75,2013
12521,2013-01-10 05:00:00,100720.0,-50.0,8.0,310.0,2.1,288.85,286.15,84.0,40000.0,2.0,100630.0,2.1,-10.0,0.0,0.0,15.700000000000044,17145.0,5,1,16750.084,2013
91820,2013-01-10 08:00:00,100780.0,60.0,3.0,270.0,2.1,289.75,286.45,81.0,40000.0,2.0,100690.0,3.1,-10.0,0.0,0.0,16.600000000000023,22213.0,8,1,20826.398,2013
1210,2013-01-10 11:00:00,100870.0,90.0,3.0,140.0,1.0,296.75,288.25,59.0,40000.0,2.0,100780.0,2.1,-10.0,0.0,0.0,23.600000000000023,23940.0,11,1,23728.875,2013
64071,2013-01-10 14:00:00,100810.0,-60.0,8.0,160.0,3.6,297.55,287.05,52.0,40000.0,2.0,100720.0,4.6,-10.0,0.0,0.0,24.40000000000004,23695.0,14,1,23298.771,2013
7599,2013-01-10 17:00:00,100750.0,-60.0,5.0,170.0,2.6,295.85,288.15,62.0,40000.0,2.0,100660.0,5.1,-10.0,0.0,0.0,22.700000000000045,22485.0,17,1,21767.889,2013
7606,2013-01-10 20:00:00,100850.0,100.0,2.0,220.0,1.0,293.35,288.55,74.0,70000.0,2.0,100760.0,2.1,-10.0,0.0,0.0,20.200000000000045,22904.0,20,1,21947.266,2013
64086,2013-01-10 23:00:00,100970.0,120.0,1.0,260.0,1.0,292.15,288.65,80.0,70000.0,2.0,100880.0,2.6,-10.0,0.0,0.0,19.0,21168.0,23,1,21515.822,2013
3626,2013-01-11 01:00:00,102300.0,-40.0,8.0,310.0,2.6,284.95,280.85,76.0,50000.0,0.0,102200.0,3.1,-10.0,0.0,0.0,11.800000000000011,24849.0,1,1,22330.838,2013
94645,2013-01-11 04:00:00,102170.0,-130.0,7.0,10.0,1.5,282.65,279.95,83.0,30000.0,2.0,102070.0,2.1,-10.0,0.0,0.0,9.5,21006.0,4,1,20003.52,2013
8883,2013-01-11 07:00:00,102160.0,-10.0,8.0,340.0,1.0,281.75,279.55,86.0,40000.0,2.0,102060.0,2.1,-10.0,0.0,0.0,8.600000000000023,19851.0,7,1,19073.605,2013
8887,2013-01-11 10:00:00,102250.0,90.0,0.0,20.0,2.1,287.45,282.65,73.0,40000.0,2.0,102150.0,3.1,-10.0,0.0,0.0,14.300000000000011,21700.0,10,1,23064.693,2013
94660,2013-01-11 13:00:00,102120.0,-130.0,8.0,150.0,1.0,290.95,283.55,62.0,20000.0,2.0,102020.0,3.1,-10.0,0.0,0.0,17.80000000000001,23792.0,13,1,24295.316,2013
94669,2013-01-11 16:00:00,101940.0,-180.0,6.0,140.0,2.6,290.45,285.75,74.0,25000.0,2.0,101840.0,3.1,-10.0,0.0,0.0,17.30000000000001,21939.0,16,1,21911.805,2013
3640,2013-01-11 19:00:00,101910.0,-30.0,5.0,140.0,1.0,289.95,286.45,80.0,20000.0,2.0,101810.0,2.6,-10.0,0.0,0.0,16.80000000000001,22817.0,19,1,21132.604,2013
94675,2013-01-11 22:00:00,101870.0,-40.0,6.0,30.0,1.0,287.75,285.45,86.0,15000.0,2.0,101770.0,3.1,-10.0,0.0,0.0,14.600000000000025,24216.0,22,1,22624.902,2013
55623,2013-01-12 01:00:00,101970.0,150.0,1.0,20.0,3.6,280.15,270.65,51.0,60000.0,0.0,101870.0,10.8,-10.0,0.0,0.0,7.0,36896.0,1,1,34328.05,2013
30986,2013-01-12 04:00:00,102060.0,90.0,3.0,10.0,4.6,278.25,269.95,55.0,40000.0,2.0,101960.0,6.7,-10.0,0.0,0.0,5.100000000000023,33101.0,4,1,30711.387,2013
55639,2013-01-12 07:00:00,102100.0,40.0,3.0,350.0,2.6,276.35,269.55,61.0,40000.0,2.0,102000.0,6.7,-10.0,0.0,0.0,3.200000000000045,31236.0,7,1,31571.414,2013
27910,2013-01-12 10:00:00,102130.0,30.0,3.0,360.0,4.6,279.05,269.95,52.0,60000.0,2.0,102030.0,8.2,-10.0,0.0,0.0,5.900000000000034,33453.0,10,1,36214.996,2013
63493,2013-01-12 13:00:00,101970.0,-160.0,8.0,350.0,5.1,283.35,269.65,38.0,60000.0,2.0,101870.0,8.7,-10.0,0.0,0.0,10.200000000000044,35318.0,13,1,35779.867,2013
82502,2013-01-12 16:00:00,101850.0,-120.0,6.0,20.0,4.6,284.15,269.65,36.0,60000.0,2.0,101750.0,6.2,-10.0,0.0,0.0,11.0,32497.0,16,1,33841.5,2013
31007,2013-01-12 19:00:00,101910.0,60.0,2.0,320.0,2.6,279.35,267.95,44.0,60000.0,2.0,101810.0,7.7,-10.0,0.0,0.0,6.2000000000000455,35186.0,19,1,36758.684,2013
63511,2013-01-12 22:00:00,101950.0,40.0,1.0,310.0,3.1,277.35,269.35,56.0,60000.0,2.0,101850.0,5.1,-10.0,0.0,0.0,4.2000000000000455,37497.0,22,1,38403.492,2013
4775,2013-01-13 01:00:00,101270.0,-90.0,6.0,360.0,3.1,277.75,276.55,92.0,8000.0,2.0,101170.0,4.6,-10.0,0.0,0.0,4.600000000000023,33789.0,1,1,33734.805,2013
114864,2013-01-13 04:00:00,101100.0,-170.0,8.0,10.0,4.6,277.65,275.35,85.0,10000.0,3.0,101000.0,6.2,-10.0,0.0,0.0,4.5,29806.0,4,1,30977.672,2013
114879,2013-01-13 10:00:00,100950.0,30.0,3.0,10.0,4.6,278.55,273.35,69.0,20000.0,2.0,100850.0,7.2,-10.0,0.0,0.0,5.400000000000034,29601.0,10,1,35154.883,2013
114883,2013-01-13 13:00:00,100870.0,-80.0,8.0,350.0,3.1,281.25,274.65,63.0,30000.0,2.0,100770.0,5.1,-10.0,0.0,0.0,8.100000000000023,34295.0,13,1,37456.152,2013
25445,2013-01-13 16:00:00,100790.0,-80.0,6.0,0.0,0.0,283.05,275.65,60.0,30000.0,2.0,100690.0,2.6,-10.0,0.0,0.0,9.900000000000034,31816.0,16,1,35101.29,2013
4797,2013-01-13 19:00:00,100910.0,120.0,1.0,310.0,2.6,280.55,275.25,69.0,30000.0,2.0,100810.0,4.1,-10.0,0.0,0.0,7.400000000000034,32610.0,19,1,35382.24,2013
25454,2013-01-13 22:00:00,101030.0,120.0,3.0,350.0,1.5,276.75,273.25,78.0,10000.0,2.0,100930.0,3.6,-10.0,0.0,0.0,3.6000000000000227,34593.0,22,1,36480.18,2013
25459,2013-01-14 01:00:00,101150.0,120.0,1.0,280.0,4.6,278.85,272.55,64.0,60000.0,0.0,101050.0,6.7,-10.0,0.0,0.0,5.7000000000000455,34302.0,1,1,35381.27,2013
25465,2013-01-14 04:00:00,101210.0,60.0,3.0,270.0,6.2,279.45,272.65,62.0,40000.0,2.0,101110.0,11.8,-10.0,0.0,0.0,6.300000000000011,30964.0,4,1,32394.83,2013
4816,2013-01-14 07:00:00,101160.0,-50.0,5.0,280.0,5.1,279.35,272.35,61.0,40000.0,2.0,101060.0,7.7,-10.0,0.0,0.0,6.2000000000000455,31241.0,7,1,31079.422,2013
9165,2013-01-14 10:00:00,101310.0,150.0,3.0,290.0,5.1,280.65,271.15,51.0,40000.0,2.0,101210.0,8.7,-10.0,0.0,0.0,7.5,37968.0,10,1,37422.96,2013
9172,2013-01-14 13:00:00,101230.0,-80.0,8.0,320.0,6.2,282.15,267.45,35.0,50000.0,2.0,101130.0,10.8,-10.0,0.0,0.0,9.0,38971.0,13,1,39064.45,2013
9176,2013-01-14 16:00:00,101260.0,30.0,3.0,280.0,10.8,278.95,269.85,52.0,60000.0,2.0,101160.0,18.0,-10.0,0.0,0.0,5.800000000000011,38540.0,16,1,39404.93,2013
25491,2013-01-14 19:00:00,101440.0,180.0,3.0,290.0,8.7,277.25,268.05,51.0,40000.0,2.0,101340.0,13.9,-10.0,0.0,0.0,4.100000000000023,40034.0,19,1,39804.004,2013
9182,2013-01-14 22:00:00,101480.0,40.0,1.0,270.0,5.7,275.85,267.45,54.0,35000.0,2.0,101380.0,8.2,-10.0,0.0,0.0,2.700000000000045,39834.0,22,1,40485.477,2013
25503,2013-01-15 01:00:00,101340.0,-140.0,8.0,280.0,3.6,275.55,267.45,55.0,35000.0,0.0,101240.0,6.7,-10.0,0.0,0.0,2.400000000000034,37754.0,1,1,38126.395,2013
4848,2013-01-15 04:00:00,101200.0,-140.0,8.0,180.0,0.5,275.75,268.75,60.0,30000.0,2.0,101100.0,5.1,-10.0,0.0,0.0,2.6000000000000227,33895.0,4,1,33467.758,2013
9194,2013-01-15 07:00:00,100910.0,-290.0,6.0,270.0,1.5,275.95,270.05,65.0,30000.0,21.0,100810.0,2.6,-10.0,0.0,0.0,2.800000000000012,33868.0,7,1,33395.605,2013
9200,2013-01-15 10:00:00,100900.0,-10.0,5.0,20.0,3.1,274.55,271.95,83.0,20000.0,60.0,100800.0,4.1,-10.0,0.2,0.2,1.400000000000034,40255.0,10,1,39819.527,2013
25527,2013-01-15 13:00:00,100790.0,-110.0,8.0,300.0,1.5,277.65,274.15,78.0,12000.0,1.0,100690.0,4.6,-10.0,0.0,1.0,4.5,40246.0,13,1,38780.98,2013
10468,2013-01-15 16:00:00,100780.0,-10.0,5.0,310.0,9.3,281.75,269.55,42.0,25000.0,2.0,100680.0,13.4,-10.0,0.0,0.0,8.600000000000023,37785.0,16,1,38205.414,2013
114992,2013-01-15 19:00:00,101020.0,240.0,2.0,300.0,7.7,279.05,268.25,46.0,30000.0,2.0,100920.0,13.4,-10.0,0.0,0.0,5.900000000000034,39204.0,19,1,38742.645,2013
4879,2013-01-15 22:00:00,101080.0,60.0,0.0,300.0,7.2,278.55,268.15,47.0,30000.0,2.0,100980.0,12.3,-10.0,0.0,0.0,5.400000000000034,39565.0,22,1,38720.258,2013
9227,2013-01-16 01:00:00,101070.0,-10.0,5.0,310.0,5.7,277.35,268.35,52.0,30000.0,2.0,100970.0,9.3,-10.0,0.0,0.0,4.2000000000000455,37621.0,1,1,37081.773,2013
4885,2013-01-16 04:00:00,101050.0,-20.0,8.0,240.0,2.1,273.55,268.15,67.0,30000.0,3.0,100950.0,3.6,-10.0,0.0,0.0,0.4000000000000341,33456.0,4,1,34788.418,2013
4890,2013-01-16 07:00:00,100850.0,-200.0,6.0,0.0,0.0,274.85,269.95,70.0,25000.0,2.0,100750.0,1.5,-10.0,0.0,0.0,1.7000000000000457,33633.0,7,1,32492.623,2013
10488,2013-01-16 10:00:00,100770.0,-80.0,6.0,350.0,1.5,277.55,269.95,58.0,15000.0,2.0,100670.0,3.6,-10.0,0.0,0.0,4.400000000000034,39287.0,10,1,39104.082,2013
10493,2013-01-16 13:00:00,100500.0,-270.0,8.0,320.0,2.1,277.75,267.95,49.0,15000.0,2.0,100400.0,4.1,-10.0,0.0,0.0,4.600000000000023,41164.0,13,1,40694.68,2013
115025,2013-01-16 16:00:00,100410.0,-90.0,5.0,270.0,3.1,274.65,273.45,92.0,6000.0,23.0,100310.0,3.6,-10.0,0.2,0.4,1.5,40518.0,16,1,40621.887,2013
115028,2013-01-16 19:00:00,100370.0,-40.0,5.0,310.0,3.1,275.75,273.15,83.0,15000.0,1.0,100270.0,4.1,-10.0,0.0,0.0,2.6000000000000227,41271.0,19,1,39063.945,2013
115037,2013-01-16 22:00:00,100520.0,150.0,1.0,340.0,3.6,274.75,267.35,58.0,20000.0,2.0,100420.0,7.2,-10.0,0.0,0.0,1.6000000000000227,40179.0,22,1,40373.266,2013
115043,2013-01-17 01:00:00,100660.0,140.0,3.0,360.0,2.1,272.55,265.95,57.0,35000.0,0.0,100560.0,4.1,-10.0,0.0,0.0,-0.5999999999999659,38663.0,1,1,38961.625,2013
9271,2013-01-17 04:00:00,100760.0,100.0,3.0,280.0,3.1,271.25,267.75,74.0,20000.0,2.0,100660.0,5.1,-10.0,0.0,0.0,-1.8999999999999773,36458.0,4,1,36829.285,2013
115054,2013-01-17 07:00:00,100910.0,150.0,3.0,290.0,5.1,271.75,264.95,56.0,25000.0,2.0,100810.0,7.7,-10.0,0.0,0.0,-1.3999999999999773,36721.0,7,1,36726.824,2013
